    jp       jt jm           time    lambda1               lambda2               lambda3               lambda4
 -----------------------------------------------------
     8      160  2        82.6033   2.680674   0.000000  -0.421118   0.300731  -0.421118  -0.300731  -2.284799   0.000000
     8      160  3        82.6033   4.807506   0.000000  -0.295286   0.000000  -2.735977  -1.195413  -2.735977   1.195413
     8      160  4        82.6033   7.052111   0.000000  -0.265487   0.000000  -4.258211   2.798951  -4.258211  -2.798951
     8      160  5        82.6033   9.390814   0.000000  -0.255729   0.000000  -5.945816   4.468320  -5.945816  -4.468320
     8      160  6        82.6033  11.806840   0.000000  -0.251195   0.000000  -7.797815  -6.257031  -7.797815   6.257031
     9      180  1        84.5272   0.692547   0.000000   0.053450   0.163699   0.053450  -0.163699  -0.988860   0.000000
     9      180  2        84.5272   2.679936   0.000000  -0.422485   0.300925  -0.422485  -0.300925  -2.281383   0.000000
     9      180  3        84.5272   4.806322   0.000000  -0.295819   0.000000  -2.735462  -1.201808  -2.735462   1.201808
     9      180  4        84.5272   7.050582   0.000000  -0.266018   0.000000  -4.257995   2.804736  -4.257995  -2.804736
     9      180  5        84.5272   9.388997   0.000000  -0.256256   0.000000  -5.946088   4.474717  -5.946088  -4.474717
     9      180  6        84.5272  11.804769   0.000000  -0.251720   0.000000  -7.798748  -6.264220  -7.798748   6.264220
    10      200  1        86.3041   0.692506   0.000000   0.053113   0.164235   0.053113  -0.164235  -0.987823   0.000000
    10      200  2        86.3041   2.679009   0.000000  -0.424147   0.301184  -0.424147  -0.301184  -2.277180   0.000000
    10      200  3        86.3041   4.804829   0.000000  -0.296485   0.000000  -2.734779   1.209528  -2.734779  -1.209528
    10      200  4        86.3041   7.048646   0.000000  -0.266680   0.000000  -4.257652   2.811728  -4.257652  -2.811728
    10      200  5        86.3041   9.386687   0.000000  -0.256912   0.000000  -5.946306   4.482441  -5.946306  -4.482441
    10      200  6        86.3041  11.802128   0.000000  -0.252373   0.000000  -7.799732   6.272889  -7.799732  -6.272889
    11      220  1        87.9941   0.692446   0.000000   0.052709   0.164882   0.052709  -0.164882  -0.986559   0.000000
